state,Date_Location,height_high_tide_max,height_high_tide_min,height_high_tide_mean
HIGH TIDE,1963.09.13_-34.042_151.163,0.6610675648490756,0.22626334818850607,0.44366545651879086
HIGH TIDE,1963.11.14_-28.044_153.437,0.7274356905858012,0.5047816367184017,0.6161086636521014
HIGH TIDE,1963.12.08_-34.928_138.601,0.35445145583886023,0.11387863375868594,0.2341650447987731
HIGH TIDE,1963.12.21_-30.113_153.184,0.721919085747013,0.22377916145978713,0.4728491236034001
HIGH TIDE,1963.12.26_-25.288_152.768,1.3062212690792068,1.051119701956029,1.178670485517618
HIGH TIDE,1964.01.01_-31.748_115.773,0.36596937467586393,0.36596937467586393,0.36596937467586393
HIGH TIDE,1964.01.18_-34.228_115.056,0.2841968342341871,0.2841968342341871,0.2841968342341871
HIGH TIDE,1964.02.02_-27.47_153.025,1.0327090148709759,1.0327090148709759,1.0327090148709759
HIGH TIDE,1964.03.28_-28.0_153.417,0.6415179248603132,0.6415179248603132,0.6415179248603132
HIGH TIDE,1964.11.18_-28.2_153.567,0.9335782394413399,0.6073404810718401,0.77045936025659
HIGH TIDE,1964.11.29_-38.416_142.004,0.08454426186270667,0.04085565908287156,0.06269996047278911
HIGH TIDE,1964.12.10_-35.048_150.745,0.5367864182175577,0.18095205215951793,0.3588692351885378
HIGH TIDE,1965.01.10_-37.842_144.932,0.5411724513089085,0.3324812665831047,0.4368268589460066
HIGH TIDE,1965.11.03_-16.591_145.519,0.8505027388196013,0.21466273944916248,0.5325827391343818
HIGH TIDE,1965.11.21_-27.47_153.025,1.1892413138458764,0.9483350341150838,1.06878817398048
HIGH TIDE,1965.12.28_-31.989_115.541,0.20893156472834074,0.20893156472834074,0.20893156472834074
HIGH TIDE,1966.01.15_-34.367_150.917,0.5551289075619733,0.27868914457361543,0.41690902606779434
HIGH TIDE,1966.02.27_-34.288_150.949,0.46573626143998625,0.27925344992047535,0.3724948556802308
HIGH TIDE,1966.03.20_-33.95_151.244,0.6221216390939548,0.3944745367735715,0.5082980879337632
HIGH TIDE,1966.05.20_-30.452_152.898,0.838286144908611,0.3904044211752523,0.6143452830419316
HIGH TIDE,1966.05.20_-35.048_150.745,0.748193132834543,0.35072686054505114,0.5494599966897971
HIGH TIDE,1966.08.28_-12.508_130.859,1.741223023766263,1.1994450374489205,1.4703340306075918
HIGH TIDE,1966.09.10_-31.979_115.533,0.25060260303423443,0.25060260303423443,0.25060260303423443
HIGH TIDE,1966.09.13_-35.027_117.884,0.475149689712513,0.03158874915408678,0.2533692194332999
HIGH TIDE,1966.12.26_-33.919_151.256,0.7236979958783981,0.25047806301427816,0.4870880294463381
HIGH TIDE,1966.12.27_-30.884_153.04,0.9230340819880899,0.2680814260998956,0.5955577540439927
HIGH TIDE,1966.12.27_-30.88_153.058,0.9230340819880899,0.2680814260998956,0.5955577540439927
HIGH TIDE,1966.12.31_-41.852_148.26,0.626871640412774,0.22453458589237948,0.42570311315257675
HIGH TIDE,1967.03.10_-33.872_151.278,0.683072599788537,0.40113369181131436,0.5421031457999257
HIGH TIDE,1967.03.12_-38.15_144.362,0.17925295235539815,-0.026457464721455576,0.09208927748250345
HIGH TIDE,1967.08.10_-35.048_150.745,0.5164400050888261,0.5164400050888261,0.5164400050888261
HIGH TIDE,1967.11.30_-28.0_153.417,1.0508091135976931,0.4999864980254866,0.7753978058115899
HIGH TIDE,1967.11.30_-34.428_150.893,0.9325966168189889,0.4600604648188887,0.6963285408189388
HIGH TIDE,1967.12.17_-38.314_144.668,0.695721540812904,0.3254326535038948,0.5105770971583994
HIGH TIDE,1968.02.02_-28.556_153.544,0.7834064765040987,0.38013013537927426,0.5817683059416865
HIGH TIDE,1968.02.20_-31.896_115.958,0.2243390737727743,0.2243390737727743,0.2243390737727743
HIGH TIDE,1968.04.07_-32.805_151.961,0.11342171535280059,0.11342171535280059,0.11342171535280059
HIGH TIDE,1968.12.26_-33.795_151.285,0.47010635174707693,0.32689004620656015,0.39849819897681854
HIGH TIDE,1969.01.27_-35.014_150.849,0.44916802478251266,0.08632059103688217,0.2677443079096974
HIGH TIDE,1969.02.17_-42.948_147.349,0.5662662711200622,0.11697383599880605,0.34162005355943414
HIGH TIDE,1969.03.25_-32.928_151.782,0.4378914366832172,0.06291307556060902,0.2504022561219131
HIGH TIDE,1969.05.14_-23.267_151.935,1.176403159101006,0.7023575426150598,0.939380350858033
HIGH TIDE,1969.11.05_-33.87_151.202,0.4324773080972808,0.31329115600064167,0.37288423204896126
HIGH TIDE,1969.11.30_-31.896_115.958,0.2027712317619707,0.2027712317619707,0.2027712317619707
HIGH TIDE,1970.09.02_-33.87_151.202,0.6121480079652436,0.4500186949561985,0.531083351460721
HIGH TIDE,1971.08.21_-33.806_151.295,0.7137273434764035,0.36486061856694635,0.5392939810216749
HIGH TIDE,1971.11.25_-33.87_151.202,0.5781420665420522,0.22972814192020158,0.4039351042311269
HIGH TIDE,1971.12.05_-23.842_151.25,1.636208416685765,0.6031990714541043,1.1197037440699347
